time P_C P_D P_L P_{tot}
1.000000000000000082e-05 -1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.000100000000000017e-01 -9.800665848270705416e-01 0.000000000000000000e+00 9.800665848270705416e-01 0.000000000000000000e+00
2.000099999999999933e-01 -9.210610058611319317e-01 0.000000000000000000e+00 9.210610058611319317e-01 0.000000000000000000e+00
3.000099999999999989e-01 -8.253356248274347218e-01 0.000000000000000000e+00 8.253356248274347218e-01 0.000000000000000000e+00
4.000099999999999767e-01 -6.967067192065660164e-01 0.000000000000000000e+00 6.967067192039452239e-01 0.000000000000000000e+00
5.000099999999999545e-01 -5.403023153322251693e-01 0.000000000000000000e+00 5.403023153432601200e-01 0.000000000000000000e+00
6.000100000000000433e-01 -3.623577629862065885e-01 0.000000000000000000e+00 3.623577628934299133e-01 0.000000000000000000e+00
7.000100000000000211e-01 -1.699671503472537648e-01 0.000000000000000000e+00 1.699671505433264784e-01 0.000000000000000000e+00
8.000099999999999989e-01 2.919951676974503682e-02 0.000000000000000000e+00 -2.919951422051347487e-02 0.000000000000000000e+00
9.000099999999999767e-01 2.272020903336452735e-01 0.000000000000000000e+00 -2.272020916970795834e-01 0.000000000000000000e+00
1.000010000000000066e+00 4.161468345250043388e-01 0.000000000000000000e+00 -4.161468340622853646e-01 0.000000000000000000e+00
1.100009999999999932e+00 5.885011162566028409e-01 0.000000000000000000e+00 -5.885011173386841543e-01 0.000000000000000000e+00
1.200010000000000021e+00 7.373937172020719188e-01 0.000000000000000000e+00 -7.373937192902635385e-01 0.000000000000000000e+00
1.300010000000000110e+00 8.568887565108614934e-01 0.000000000000000000e+00 -8.568887564010100322e-01 0.000000000000000000e+00
1.400009999999999977e+00 9.422223454283930044e-01 0.000000000000000000e+00 -9.422223454815422672e-01 0.000000000000000000e+00
1.500010000000000066e+00 9.899925019018618322e-01 0.000000000000000000e+00 -9.899925046757387381e-01 0.000000000000000000e+00
1.600009999999999932e+00 9.982947829334433143e-01 0.000000000000000000e+00 -9.982947851685363139e-01 0.000000000000000000e+00
1.700010000000000021e+00 9.667982007135053069e-01 0.000000000000000000e+00 -9.667982026820566288e-01 0.000000000000000000e+00
1.800010000000000110e+00 8.967584227383924578e-01 0.000000000000000000e+00 -8.967584248708846406e-01 0.000000000000000000e+00
1.900009999999999977e+00 7.909677162947001960e-01 0.000000000000000000e+00 -7.909677162896218139e-01 0.000000000000000000e+00
2.000010000000000066e+00 6.536436234015238211e-01 0.000000000000000000e+00 -6.536436234015238211e-01 0.000000000000000000e+00
2.100010000000000154e+00 4.902608229772418835e-01 0.000000000000000000e+00 -4.902608229772418835e-01 0.000000000000000000e+00
2.200009999999999799e+00 3.073328716205936395e-01 0.000000000000000000e+00 -3.073328716205936395e-01 0.000000000000000000e+00
2.300009999999999888e+00 1.121525298303631679e-01 0.000000000000000000e+00 -1.121525298303631679e-01 0.000000000000000000e+00
2.356204492239999837e+00 inf -2.040371426559120763e-19 inf 0.000000000000000000e+00
2.356204492239999837e+00 2.040371426559120763e-19 -2.040371426559120763e-19 0.000000000000000000e+00 0.000000000000000000e+00
2.456204492239999926e+00 2.040371426559120763e-19 -2.040371426559120763e-19 2.192462255796312178e-51 0.000000000000000000e+00
2.556204492240000015e+00 2.040371426559120763e-19 -2.040371426559120763e-19 -9.881055521449638179e-52 0.000000000000000000e+00
2.656204492240000103e+00 2.040371426559120763e-19 -2.040371426559120763e-19 -6.153386244562604467e-52 0.000000000000000000e+00
2.756204492240000192e+00 2.040371426559120763e-19 -2.040371426559120763e-19 -5.389827367508195246e-53 0.000000000000000000e+00
2.856204492239999837e+00 2.040371426559120763e-19 -2.040371426559120763e-19 5.068314227854078054e-52 0.000000000000000000e+00
2.956204492239999926e+00 2.040371426559120763e-19 -2.040371426559120763e-19 1.067485651530819113e-51 0.000000000000000000e+00
3.056204492240000015e+00 2.040371426559120763e-19 -2.040371426559120763e-19 1.628139880276230420e-51 0.000000000000000000e+00
3.156204492240000103e+00 2.040371426559120763e-19 -2.040371426559120763e-19 2.188794109021642172e-51 0.000000000000000000e+00
3.256204492240000192e+00 2.040371426559120763e-19 -2.040371426559120763e-19 1.956100267430274789e-51 0.000000000000000000e+00
3.356204492239999837e+00 2.040371426559120763e-19 -2.040371426559120763e-19 1.534888072487738975e-51 0.000000000000000000e+00
3.456204492239999926e+00 2.040371426559120763e-19 -2.040371426559120763e-19 1.113675877548468746e-51 0.000000000000000000e+00
3.556204492240000015e+00 2.040371426559120763e-19 -2.040371426559120763e-19 6.924636826059332283e-52 0.000000000000000000e+00
3.656204492240000103e+00 2.040371426559120763e-19 -2.040371426559120763e-19 2.712514876660098822e-52 0.000000000000000000e+00
3.756204492240000192e+00 2.040371426559120763e-19 -2.040371426559120763e-19 -1.499607072745664883e-52 0.000000000000000000e+00
3.856204492239999837e+00 2.040371426559120763e-19 -2.040371426559120763e-19 -5.711729022151428958e-52 0.000000000000000000e+00
3.956204492239999926e+00 2.040371426559120763e-19 -2.040371426559120763e-19 -9.923850971576785617e-52 0.000000000000000000e+00
4.000000000000000000e+00 2.040371426559120763e-19 -2.040371426559120763e-19 2.234293210047608602e-67 0.000000000000000000e+00
