time	i_V	u_V	i_R	u_R	i_L	u_L
1e-05	2.76064428921e-16	1.	2.76064428921e-16	1.65638656029e-16	0.	-1.
0.10001	-0.302115409365	1.	-0.302115409365	-0.181269245619	-0.302115409365	-0.818730754381
0.20001	-0.549466586429	1.	-0.549466586429	-0.329679951857	-0.549466586429	-0.670320048143
0.30001	-0.751980600379	1.	-0.751980600379	-0.451188360227	-0.751980600379	-0.548811639773
0.40001	-0.917785052005	1.	-0.917785052005	-0.550671031203	-0.917785052005	-0.449328968797
0.50001	-1.0535342561	1.	-1.0535342561	-0.632120553662	-1.0535342561	-0.367879446338
0.60001	-1.16467630458	1.	-1.16467630458	-0.698805782746	-1.16467630458	-0.301194217254
0.70001	-1.25567171798	1.	-1.25567171798	-0.753403030785	-1.25567171798	-0.246596969215
0.80001	-1.33017246158	1.	-1.33017246158	-0.798103476949	-1.33017246158	-0.201896523051
0.90001	-1.39116851172	1.	-1.39116851172	-0.83470110703	-1.39116851172	-0.16529889297
1.00001	-1.44110785398	1.	-1.44110785398	-0.864664712386	-1.44110785398	-0.135335287614
1.10001	-1.4819947294	1.	-1.4819947294	-0.889196837642	-1.4819947294	-0.110803162358
1.20001	-1.51547007185	1.	-1.51547007185	-0.90928204311	-1.51547007185	-0.0907179568893
1.30001	-1.54287736427	1.	-1.54287736427	-0.925726418563	-1.54287736427	-0.0742735814368
1.40001	-1.56531655753	0.999999999998	-1.56531655753	-0.939189934515	-1.56531655753	-0.0608100654853
1.50001	-1.58368821518	0.99999999999	-1.58368821518	-0.950212929109	-1.58368821518	-0.0497870708926
1.60001	-1.59872965634	0.999999999996	-1.59872965634	-0.959237793806	-1.59872965634	-0.0407622061933
1.70001	-1.61104454683	1.00000000002	-1.61104454683	-0.966626728103	-1.61104454684	-0.0333732718932
1.80001	-1.62112712567	0.999999999935	-1.62112712567	-0.972676275399	-1.62112712566	-0.0273237246076
1.90001	-1.62938204164	0.999999999832	-1.62938204164	-0.977629224974	-1.6293820416	-0.022370775044
2.00001	-1.63614059543	0.999999999686	-1.63614059543	-0.981684357237	-1.63614059536	-0.0183156427965
2.10001	-1.64167403166	0.999999999407	-1.64167403166	-0.985004418955	-1.64167403152	-0.0149955811084
2.20001	-1.64620442647	0.999999998952	-1.64620442647	-0.987722655802	-1.64620442621	-0.0122773443079
2.30001	-1.64991360034	0.999999998342	-1.64991360034	-0.989948160084	-1.64991359993	-0.0100518400891
2.40001	-1.65295041516	0.999999999912	-1.65295041516	-0.991770249086	-1.65295041513	-0.00822975092955
2.50001	-1.6554367494	1.00000000026	-1.6554367494	-0.993262049657	-1.65543674946	-0.00673795032853
2.60001	-1.65747238788	0.99999999976	-1.65747238788	-0.994483432722	-1.65747238784	-0.00551656726586
2.70001	-1.65913902793	0.999999999119	-1.65913902793	-0.995483416657	-1.65913902767	-0.00451658353169
2.80001	-1.66050355716	0.999999999779	-1.66050355716	-0.996302134279	-1.6605035571	-0.00369786574658
2.90001	-1.66162073929	1.00000000009	-1.66162073929	-0.996972443581	-1.66162073931	-0.00302755640375
3.00001	-1.66253541065	1.00000000039	-1.66253541065	-0.997521246419	-1.66253541075	-0.00247875353712
3.10001	-1.66328428046	0.999999999722	-1.66328428046	-0.997970568248	-1.66328428038	-0.00202943179757
3.20001	-1.66389740313	0.999999999845	-1.66389740313	-0.998338441867	-1.66389740309	-0.00166155815099
3.30001	-1.66439938562	0.999999999998	-1.66439938562	-0.998639631372	-1.66439938562	-0.00136036862859
3.40001	-1.66481037567	0.999999999995	-1.66481037567	-0.998886225399	-1.66481037566	-0.00111377460184
3.50001	-1.66514686627	0.999999999999	-1.66514686627	-0.999088119762	-1.66514686627	-0.000911880238524
3.60001	-1.66542236035	1.00000000002	-1.66542236035	-0.999253416211	-1.66542236035	-0.000746583787091
3.70001	-1.66564791362	0.999999999971	-1.66564791362	-0.999388748169	-1.66564791361	-0.000611251834635
3.80001	-1.66583258205	1.00000000001	-1.66583258205	-0.99949954923	-1.66583258205	-0.000500450768686
3.90001	-1.66598377634	0.999999999972	-1.66598377634	-0.999590265802	-1.66598377633	-0.00040973420099
4.	-1.66610755247	1.	-1.66610755247	-0.999664531481	-1.66610755247	-0.000335468518765
