time P_D P_L P_R P_V P_{tot}
1.000000000000000082e-05 0.000000000000000000e+00 0.000000000000000000e+00 3.342290670719096200e-32 3.656386560920000419e-16 0.000000000000000000e+00
1.000999999999999980e-02 0.000000000000000000e+00 9.851163619575447825e-03 9.900587292967670875e-05 -9.950169492514874398e-03 0.000000000000000000e+00
2.001000000000000001e-02 0.000000000000000000e+00 1.940923615364633509e-02 3.920926212516826653e-04 -1.980132877490197937e-02 0.000000000000000000e+00
3.000999999999999848e-02 0.000000000000000000e+00 2.868100115392686889e-02 8.734665619701754069e-04 -2.955446771590295590e-02 0.000000000000000000e+00
4.000999999999999696e-02 0.000000000000000000e+00 3.767309339192950052e-02 1.537468135278336444e-03 -3.921056152719215593e-02 0.000000000000000000e+00
5.000999999999999890e-02 0.000000000000000000e+00 4.639200574504639268e-02 2.378568956743854022e-03 -4.877057470180974630e-02 0.000000000000000000e+00
6.001000000000000084e-02 0.000000000000000000e+00 5.484409480111314406e-02 3.391369276310145318e-03 -5.823546407737670294e-02 0.000000000000000000e+00
7.001000000000000278e-02 0.000000000000000000e+00 6.303558104362312620e-02 4.570595045376876081e-03 -6.760617608900000575e-02 0.000000000000000000e+00
8.000999999999999779e-02 0.000000000000000000e+00 7.097255242189666469e-02 5.911095284672579671e-03 -7.688364770663075332e-02 0.000000000000000000e+00
9.001000000000000667e-02 0.000000000000000000e+00 7.866096761824552253e-02 7.407839570971685994e-03 -8.606880718918279161e-02 0.000000000000000000e+00
1.000100000000000017e-01 0.000000000000000000e+00 8.610665810782433538e-02 9.055915395847104546e-03 -9.516257350372855917e-02 0.000000000000000000e+00
1.100099999999999967e-01 0.000000000000000000e+00 9.331533072799617912e-02 1.085052563100382013e-02 -1.041658563589999975e-01 0.000000000000000000e+00
1.200100000000000056e-01 0.000000000000000000e+00 1.002925693965440040e-01 1.278698580445600773e-02 -1.130795552010000066e-01 0.000000000000000000e+00
1.300099999999999867e-01 0.000000000000000000e+00 1.070438391677097367e-01 1.486072204429025358e-02 -1.219045612119999955e-01 0.000000000000000000e+00
1.400099999999999956e-01 0.000000000000000000e+00 1.135744880383760952e-01 1.706726856962391403e-02 -1.306417566080000092e-01 0.000000000000000000e+00
1.500100000000000044e-01 0.000000000000000000e+00 1.198897499208334133e-01 1.940226558316657593e-02 -1.392920155039999996e-01 0.000000000000000000e+00
1.600100000000000133e-01 0.000000000000000000e+00 1.259947461914612543e-01 2.186145674753875445e-02 -1.478562029390000088e-01 0.000000000000000000e+00
1.700099999999999945e-01 0.000000000000000000e+00 1.318944883711417049e-01 2.444068708485830702e-02 -1.563351754560000084e-01 0.000000000000000000e+00
1.800100000000000033e-01 0.000000000000000000e+00 1.375938802516920301e-01 2.713590074830795826e-02 -1.647297809999999918e-01 0.000000000000000000e+00
1.900100000000000122e-01 0.000000000000000000e+00 1.430977200361101542e-01 2.994313884088982761e-02 -1.730408588769999922e-01 0.000000000000000000e+00
2.000099999999999933e-01 0.000000000000000000e+00 1.484107028299853082e-01 3.285853748401468266e-02 -1.812692403139999908e-01 0.000000000000000000e+00
2.100100000000000022e-01 0.000000000000000000e+00 1.535374224481129424e-01 3.587832561388706182e-02 -1.894157480620000111e-01 0.000000000000000000e+00
2.200100000000000111e-01 0.000000000000000000e+00 1.584823735174326620e-01 3.899882296356731864e-02 -1.974811964809999876e-01 0.000000000000000000e+00
2.300099999999999922e-01 0.000000000000000000e+00 1.632499541142989341e-01 4.221643848970105944e-02 -2.054663926039999866e-01 0.000000000000000000e+00
2.400100000000000011e-01 0.000000000000000000e+00 1.678444666151546194e-01 4.552766770384538558e-02 -2.133721343190000119e-01 0.000000000000000000e+00
2.500100000000000100e-01 0.000000000000000000e+00 1.722701211085172768e-01 4.892909178448274360e-02 -2.211992128930000134e-01 0.000000000000000000e+00
2.600100000000000189e-01 0.000000000000000000e+00 1.765310358441602723e-01 5.241737468283971801e-02 -2.289484105269999903e-01 0.000000000000000000e+00
2.700099999999999723e-01 0.000000000000000000e+00 1.806312402260617789e-01 5.598926213993820483e-02 -2.366205023659999906e-01 0.000000000000000000e+00
2.800099999999999811e-01 0.000000000000000000e+00 1.845746761426640126e-01 5.964157953933599959e-02 -2.442162556820000052e-01 0.000000000000000000e+00
2.900099999999999900e-01 0.000000000000000000e+00 1.883651997343899209e-01 6.337123011161006902e-02 -2.517364298459999761e-01 0.000000000000000000e+00
