time	y	v	a
1e-05	10.	0.	-9.81000000037
0.01001	9.99936338192	-0.0981	-9.81
0.02001	9.99778013295	-0.1962	-9.81
0.03001	9.99532429911	-0.2943	-9.81
0.04001	9.99189643873	-0.3924	-9.81
0.05001	9.98748138671	-0.4905	-9.81
0.06001	9.98208581165	-0.5886	-9.81
0.07001	9.97570937862	-0.6867	-9.81
0.08001	9.96835196125	-0.7848	-9.81
0.09001	9.96001352664	-0.8829	-9.81
0.10001	9.9506940828	-0.981	-9.81
0.11001	9.94039363321	-1.0791	-9.81
0.12001	9.92911217405	-1.1772	-9.81
0.13001	9.91684970532	-1.2753	-9.81
0.14001	9.90360622701	-1.3734	-9.81
0.15001	9.88938173913	-1.4715	-9.81
0.16001	9.87417626336	-1.5696	-9.81
0.17001	9.85798979033	-1.6677	-9.81
0.18001	9.84082231581	-1.7658	-9.81
0.19001	9.82267383981	-1.8639	-9.81
0.20001	9.80354436231	-1.962	-9.81
0.21001	9.78343388333	-2.0601	-9.81
0.22001	9.76234240285	-2.1582	-9.81
0.23001	9.74026992089	-2.2563	-9.81
0.24001	9.71721643744	-2.3544	-9.81
0.25001	9.69318195249	-2.4525	-9.81
0.26001	9.66816646606	-2.5506	-9.81
0.27001	9.64216997939	-2.6487	-9.81
0.28001	9.61519249569	-2.7468	-9.81
0.29001	9.58723401137	-2.8449	-9.81
0.30001	9.55829452644	-2.943	-9.81
0.31001	9.5283740409	-3.0411	-9.81
0.32001	9.49747255474	-3.1392	-9.81
0.33001	9.46559006796	-3.2373	-9.81
0.34001	9.43272658057	-3.3354	-9.81
0.35001	9.39888209257	-3.4335	-9.81
0.36001	9.36405660395	-3.5316	-9.81
0.37001	9.32825011472	-3.6297	-9.81
0.38001	9.29146262487	-3.7278	-9.81
0.39001	9.25369413441	-3.8259	-9.81
0.40001	9.21494464333	-3.924	-9.81
0.41001	9.17521415164	-4.0221	-9.81
0.42001	9.13450265933	-4.1202	-9.81
0.43001	9.09281016641	-4.2183	-9.81
0.44001	9.05013667288	-4.3164	-9.81
0.45001	9.00648217873	-4.4145	-9.81
0.46001	8.96184668396	-4.5126	-9.81
0.47001	8.91623018858	-4.6107	-9.81
0.48001	8.86963269259	-4.7088	-9.81
0.49001	8.82205419598	-4.8069	-9.81
0.50001	8.77349469933	-4.905	-9.81
0.51001	8.72395420755	-5.0031	-9.81
0.52001	8.67343271565	-5.1012	-9.81
0.53001	8.62193022364	-5.1993	-9.81
0.54001	8.56944673151	-5.2974	-9.81
0.55001	8.51598223926	-5.3955	-9.81
0.56001	8.4615367469	-5.4936	-9.81
0.57001	8.40611025442	-5.5917	-9.81
0.58001	8.34970276182	-5.6898	-9.81
0.59001	8.2923142691	-5.7879	-9.81
0.60001	8.23394477627	-5.886	-9.81
0.61001	8.17459428332	-5.9841	-9.81
0.62001	8.11426279026	-6.0822	-9.81
0.63001	8.05295029707	-6.1803	-9.81
0.64001	7.99065680377	-6.2784	-9.81
0.65001	7.92738231036	-6.3765	-9.81
0.66001	7.86312681682	-6.4746	-9.81
0.67001	7.79789032317	-6.5727	-9.81
0.68001	7.73167282941	-6.6708	-9.81
0.69001	7.66447433552	-6.7689	-9.81
0.70001	7.59629484152	-6.867	-9.81
0.71001	7.5271343474	-6.9651	-9.81
0.72001	7.45699285317	-7.0632	-9.81
0.73001	7.38587035882	-7.1613	-9.81
0.74001	7.31376686435	-7.2594	-9.81
0.75001	7.24068236976	-7.3575	-9.81
0.76001	7.16661687506	-7.4556	-9.81
0.77001	7.09157038024	-7.5537	-9.81
0.78001	7.01554288531	-7.6518	-9.81
0.79001	6.93853439025	-7.7499	-9.81
0.80001	6.86054489508	-7.848	-9.81
0.81001	6.7815743998	-7.9461	-9.81
0.82001	6.70162290439	-8.0442	-9.81
0.83001	6.62069040887	-8.1423	-9.81
0.84001	6.53877691323	-8.2404	-9.81
0.85001	6.45588241748	-8.3385	-9.81
0.86001	6.37200692161	-8.4366	-9.81
0.87001	6.28715042562	-8.5347	-9.81
0.88001	6.20131292952	-8.6328	-9.81
0.89001	6.11449443329	-8.7309	-9.81
0.90001	6.02669493696	-8.829	-9.81
0.91001	5.9379144405	-8.9271	-9.81
0.92001	5.84815294393	-9.0252	-9.81
0.93001	5.75741044724	-9.1233	-9.81
0.94001	5.66568695043	-9.2214	-9.81
0.95001	5.57298245351	-9.3195	-9.81
0.96001	5.47929695647	-9.4176	-9.81
0.97001	5.38463046078	-9.5157	-9.81
0.98001	5.28898296537	-9.6138	-9.81
0.99001	5.19235446992	-9.7119	-9.81
1.00001	5.09474497443	-9.81	-9.81
1.01001	4.9961544789	-9.9081	-9.81
1.02001	4.89658298332	-10.0062	-9.81
1.03001	4.79603048771	-10.1043	-9.81
1.04001	4.69449699206	-10.2024	-9.81
1.05001	4.59198249637	-10.3005	-9.81
1.06001	4.48848700063	-10.3986	-9.81
1.07001	4.38401050486	-10.4967	-9.81
1.08001	4.27855300904	-10.5948	-9.81
1.09001	4.17211451319	-10.6929	-9.81
1.10001	4.06469501729	-10.791	-9.81
1.11001	3.95629452135	-10.8891	-9.81
1.12001	3.84691302537	-10.9872	-9.81
1.13001	3.73655052935	-11.0853	-9.81
1.14001	3.6252070333	-11.1834	-9.81
1.15001	3.5128825372	-11.2815	-9.81
1.16001	3.39957704105	-11.3796	-9.81
1.17001	3.28529054487	-11.4777	-9.81
1.18001	3.17002304865	-11.5758	-9.81
1.19001	3.05377455239	-11.6739	-9.81
1.20001	2.93654505609	-11.772	-9.81
1.21001	2.81833455974	-11.8701	-9.81
1.22001	2.69914306336	-11.9682	-9.81
1.23001	2.57897056693	-12.0663	-9.81
1.24001	2.45781707047	-12.1644	-9.81
1.25001	2.33568257396	-12.2625	-9.81
1.26001	2.21256707741	-12.3606	-9.81
1.27001	2.08847058083	-12.4587	-9.81
1.28001	1.9633930842	-12.5568	-9.81
1.29001	1.83733458753	-12.6549	-9.81
1.30001	1.71029509082	-12.753	-9.81
1.31001	1.58227459407	-12.8511	-9.81
