time	i_V	u_V	i_R	u_R	i_L	u_L
1e-05	-3.33333326668e-08	1.	-3.33333326668e-08	-1.99999996001e-08	0.	-0.999999980005
0.10001	-0.302110091152	1.	-0.302110091152	-0.181266054691	-0.302110091152	-0.818733945309
0.20001	-0.549448737895	1.	-0.549448737895	-0.329669242737	-0.549448737895	-0.670330757263
0.30001	-0.751957683638	1.	-0.751957683638	-0.451174610183	-0.751957683638	-0.548825389817
0.40001	-0.917771921703	1.	-0.917771921703	-0.550663153022	-0.917771921703	-0.449336846978
0.50001	-1.05351322309	1.	-1.05351322309	-0.632107933855	-1.05351322309	-0.367892066145
0.60001	-1.16464851209	1.	-1.16464851209	-0.698789107256	-1.16464851209	-0.301210892744
0.70001	-1.25565308439	1.	-1.25565308439	-0.753391850632	-1.25565308439	-0.246608149368
0.80001	-1.33017232803	1.	-1.33017232803	-0.798103396818	-1.33017232803	-0.201896603181
0.90001	-1.39118166842	1.	-1.39118166842	-0.834709001054	-1.39118166842	-0.165290998946
1.00001	-1.44112756191	1.	-1.44112756191	-0.864676537145	-1.44112756191	-0.135323462855
1.10001	-1.48201472206	1.	-1.48201472206	-0.889208833238	-1.48201472206	-0.110791166762
1.20001	-1.51549215997	1.	-1.51549215997	-0.90929529598	-1.51549215997	-0.0907047040208
1.30001	-1.54290371066	1.	-1.54290371066	-0.925742226396	-1.54290371066	-0.0742577736026
1.40001	-1.56534467177	1.	-1.56534467177	-0.939206803064	-1.56534467177	-0.0607931969373
1.50001	-1.58371582044	1.	-1.58371582044	-0.950229492264	-1.58371582044	-0.0497705077338
1.60001	-1.59875382057	1.	-1.59875382057	-0.959252292342	-1.59875382057	-0.0407477076498
1.70001	-1.61106367867	1.	-1.61106367867	-0.966638207197	-1.61106367867	-0.0333617928258
1.80001	-1.62114042646	1.	-1.62114042646	-0.972684255883	-1.62114042646	-0.0273157440867
1.90001	-1.62939671144	1.	-1.62939671144	-0.977638026867	-1.62939671144	-0.0223619731163
2.00001	-1.63615655579	1.	-1.63615655579	-0.981693933447	-1.6361565558	-0.0183060666511
2.10001	-1.64168936658	1.	-1.64168936658	-0.985013619994	-1.64168936657	-0.0149863798453
2.20001	-1.64622256105	1.	-1.64622256105	-0.987733536646	-1.64622256105	-0.0122664633086
2.30001	-1.64993391447	1.	-1.64993391447	-0.989960348676	-1.64993391447	-0.0100396513472
2.40001	-1.65297041919	1.	-1.65297041919	-0.991782251501	-1.65297041919	-0.00821774854509
2.50001	-1.65545388714	1.	-1.65545388714	-0.993272332274	-1.65545388714	-0.00672766776184
2.60001	-1.65748632204	1.	-1.65748632204	-0.994491793229	-1.65748632204	-0.00550820675554
2.70001	-1.65915057272	1.	-1.65915057272	-0.995490343628	-1.65915057272	-0.00450965638451
2.80001	-1.6605135046	1.	-1.6605135046	-0.996308102764	-1.6605135046	-0.00369189721496
2.90001	-1.66162960182	1.	-1.66162960182	-0.996977761092	-1.66162960182	-0.00302223891665
3.00001	-1.66254266014	1.	-1.66254266014	-0.997525596049	-1.66254266014	-0.0024744040595
3.10001	-1.66328922223	1.	-1.66328922223	-0.997973533298	-1.66328922223	-0.0020264668258
3.20001	-1.66389921576	1.	-1.66389921576	-0.998339529473	-1.66389921576	-0.00166047047425
3.30001	-1.6643969009	1.	-1.6643969009	-0.998638140581	-1.6643969009	-0.00136185929511
3.40001	-1.66480472263	1.	-1.66480472263	-0.998882833576	-1.66480472263	-0.00111716642898
3.50001	-1.66513770627	1.	-1.66513770627	-0.999082623751	-1.66513770627	-0.000917376287325
3.60001	-1.66541260512	1.	-1.66541260512	-0.999247563067	-1.66541260512	-0.000752436941792
3.70001	-1.66563774486	1.	-1.66563774486	-0.999382646916	-1.66563774486	-0.000617353077692
3.80001	-1.66582285807	1.	-1.66582285807	-0.999493714854	-1.66582285807	-0.000506285097324
3.90001	-1.66597501056	1.	-1.66597501056	-0.999585006356	-1.66597501056	-0.000414993575757
4.	-1.66610008191	1.	-1.66610008191	-0.999660049148	-1.66610008191	-0.000339950848815
