time	i_V	u_V	i_R	u_R	i_L	u_L
1e-05	2.76064428921e-16	1.	2.76064428921e-16	1.65638652721e-16	0.	-1.
0.10001	-0.302115410172	1.	-0.302115410172	-0.181269246103	-0.302115410172	-0.818730753897
0.20001	-0.549466586787	1.	-0.549466586787	-0.329679952072	-0.549466586787	-0.670320047928
0.30001	-0.751980598744	1.	-0.751980598744	-0.451188359246	-0.751980598744	-0.548811640754
0.40001	-0.917785048713	1.	-0.917785048713	-0.550671029228	-0.917785048713	-0.449328970772
0.50001	-1.05353425178	1.	-1.05353425178	-0.632120551069	-1.05353425178	-0.367879448931
0.60001	-1.16467629975	1.	-1.16467629975	-0.698805779848	-1.16467629975	-0.301194220152
0.70001	-1.25567171295	1.	-1.25567171295	-0.753403027767	-1.25567171295	-0.246596972233
0.80001	-1.33017245659	1.	-1.33017245659	-0.798103473953	-1.33017245659	-0.201896526047
0.90001	-1.39116850692	1.	-1.39116850692	-0.83470110415	-1.39116850692	-0.16529889585
1.00001	-1.44110784945	1.	-1.44110784945	-0.86466470967	-1.44110784945	-0.13533529033
1.10001	-1.48199472523	1.	-1.48199472523	-0.889196835136	-1.48199472523	-0.110803164864
1.20001	-1.51547006803	1.	-1.51547006803	-0.909282040819	-1.51547006803	-0.0907179591805
1.30001	-1.54287736083	1.	-1.54287736083	-0.925726416497	-1.54287736083	-0.0742735835028
1.40001	-1.56531655444	1.	-1.56531655444	-0.939189932664	-1.56531655444	-0.0608100673358
1.50001	-1.58368821244	1.	-1.58368821244	-0.950212927464	-1.58368821244	-0.0497870725365
1.60001	-1.59872965392	1.	-1.59872965392	-0.959237792353	-1.59872965392	-0.0407622076468
1.70001	-1.61104454291	1.	-1.61104454291	-0.966626725744	-1.61104454291	-0.0333732742561
1.80001	-1.6211271183	1.	-1.6211271183	-0.972676270982	-1.6211271183	-0.027323729019
1.90001	-1.62938203336	1.	-1.62938203336	-0.977629220015	-1.62938203336	-0.0223707799857
2.00001	-1.63614058688	1.	-1.63614058688	-0.981684352126	-1.63614058688	-0.0183156478743
2.10001	-1.64167402316	0.999999999999	-1.64167402316	-0.985004413897	-1.64167402316	-0.0149955861013
2.20001	-1.64620441819	0.999999999998	-1.64620441819	-0.987722650912	-1.64620441818	-0.0122773490844
2.30001	-1.64991359244	0.999999999998	-1.64991359244	-0.989948155465	-1.64991359244	-0.0100518445318
2.40001	-1.65295040786	0.999999999998	-1.65295040786	-0.991770244717	-1.65295040786	-0.00822975528079
2.50001	-1.65543674235	1.	-1.65543674235	-0.993262045409	-1.65543674235	-0.00673795459137
2.60001	-1.65747238106	1.	-1.65747238106	-0.994483428639	-1.65747238107	-0.00551657136876
2.70001	-1.65913902132	1.00000000001	-1.65913902132	-0.995483412794	-1.65913902134	-0.00451658721951
2.80001	-1.66050355114	1.00000000001	-1.66050355114	-0.996302130685	-1.66050355116	-0.0036978693285
2.90001	-1.66162073382	1.00000000001	-1.66162073382	-0.99697244029	-1.66162073383	-0.00302755971776
3.00001	-1.66253540576	0.999999999998	-1.66253540576	-0.997521243449	-1.66253540575	-0.00247875654295
3.10001	-1.66328427591	0.999999999982	-1.66328427591	-0.997970565536	-1.66328427586	-0.00202943442873
3.20001	-1.66389739901	0.999999999969	-1.66389739901	-0.9983384394	-1.66389739895	-0.0016615605468
3.30001	-1.66439938179	0.999999999964	-1.66439938179	-0.998639629079	-1.66439938173	-0.00136037086799
3.40001	-1.66481037056	0.999999999975	-1.66481037056	-0.998886222348	-1.66481037053	-0.001113777623
3.50001	-1.66514685912	1.00000000007	-1.66514685912	-0.999088115447	-1.66514685921	-0.000911884637007
3.60001	-1.66542235142	1.	-1.66542235142	-0.999253410817	-1.66542235137	-0.000746589151134
3.70001	-1.66564790482	1.00000000004	-1.66564790482	-0.999388742898	-1.6656479049	-0.000611257176873
3.80001	-1.66583257293	0.999999999929	-1.66583257293	-0.999499543767	-1.66583257282	-0.000500456126799
3.90001	-1.66598376655	1.00000000003	-1.66598376655	-0.999590259955	-1.66598376664	-0.000409740115434
4.	-1.66610754309	1.	-1.66610754309	-0.999664525852	-1.66610754309	-0.000335474148398
