time	i_R	u_R
1e-05	-2.	-1.
0.10001	-2.	-1.
0.20001	-2.	-1.
0.30001	-2.	-1.
0.40001	-2.	-1.
0.50001	-2.	-1.
0.60001	-2.	-1.
0.70001	-2.	-1.
0.80001	-2.	-1.
0.90001	-2.	-1.
1.00001	-2.	-1.
1.10001	-2.	-1.
1.20001	-2.	-1.
1.30001	-2.	-1.
1.40001	-2.	-1.
1.50001	-2.	-1.
1.60001	-2.	-1.
1.70001	-2.	-1.
1.80001	-2.	-1.
1.90001	-2.	-1.
2.00000999991	-2.	-1.
2.00001	0.	0.
2.10001	0.	0.
2.20001	0.	0.
2.30001	0.	0.
2.40001	0.	0.
2.50001	0.	0.
2.60001	0.	0.
2.70001	0.	0.
2.80001	0.	0.
2.90001	0.	0.
3.00001	0.	0.
3.10001	0.	0.
3.20001	0.	0.
3.30001	0.	0.
3.40001	0.	0.
3.50001	0.	0.
3.60001	0.	0.
3.70001	0.	0.
3.80001	0.	0.
3.90001	0.	0.
4.	0.	0.
